date,open,high,low,close,volume
2025-12-30,272.81,274.08,272.28,273.08,22139615.0
2025-12-31,273.06,273.68,271.75,271.86,27293584.0
2026-01-02,272.255,277.84,269.0,271.01,37838054.0
2026-01-05,270.64,271.51,266.14,267.26,45647185.0
2026-01-06,267.0,267.55,262.12,262.36,52352090.0
2026-01-07,263.2,263.68,259.81,260.33,48309414.0
2026-01-08,257.02,259.29,255.7,259.04,50419336.0
2026-01-09,259.075,260.21,256.22,259.37,39996966.0
2026-01-12,259.16,261.3,256.8,260.25,45263372.0
2026-01-13,258.72,261.81,258.39,261.05,45730796.0
2026-01-14,259.49,261.82,256.71,259.96,40019349.0
2026-01-15,260.65,261.04,257.05,258.21,39388475.0
2026-01-16,257.9,258.9,254.93,255.53,72142772.0
2026-01-20,252.73,254.79,243.42,246.7,80267504.0
2026-01-21,248.7,251.56,245.18,247.65,54641725.0
2026-01-22,249.2,251.0,248.15,248.35,39708293.0
2026-01-23,247.32,249.41,244.68,248.04,41688953.0
2026-01-26,251.48,256.56,249.8,255.41,55969183.0
2026-01-27,259.17,261.95,258.21,258.27,49648271.0
2026-01-28,257.65,258.855,254.51,256.44,41287969.0
2026-01-29,258.0,259.65,254.41,258.28,67252891.0
2026-01-30,255.165,261.8999,252.18,259.48,92443303.0
2026-02-02,260.03,270.49,259.205,270.01,73913423.0
2026-02-03,269.2,271.875,267.61,269.48,64394650.0
2026-02-04,272.285,278.95,272.285,276.49,90545398.0
2026-02-05,278.13,279.5,273.23,275.91,52977396.0
2026-02-06,277.12,280.905,276.925,278.12,50453279.0
2026-02-09,277.905,278.2,271.7,274.62,44623355.0
2026-02-10,274.885,275.37,272.94,273.68,34376605.0
2026-02-11,274.695,280.18,274.45,275.5,51931208.0
2026-02-12,275.59,275.72,260.18,261.73,81077219.0
2026-02-13,262.01,262.23,255.45,255.78,56290673.0
2026-02-17,258.05,266.29,255.54,263.88,58468913.0
2026-02-18,263.6,266.82,262.45,264.35,34202996.0
2026-02-19,262.6,264.48,260.05,260.58,30845258.0
2026-02-20,258.97,264.75,258.16,264.58,42070374.0
2026-02-23,263.49,269.43,263.381,266.18,37308000.0
2026-02-24,267.86,274.89,267.71,272.14,47014549.0
2026-02-25,271.78,274.94,271.05,274.23,33714222.0
2026-02-26,274.945,276.11,270.795,272.95,32345105.0
2026-02-27,272.81,272.81,262.89,264.18,72366505.0
2026-03-02,262.41,266.53,260.2,264.72,41827920.0
2026-03-03,263.48,265.56,260.13,263.75,38568896.0
2026-03-04,264.65,266.15,261.42,262.52,39802859.0
2026-03-05,260.79,261.555,257.25,260.29,49658509.0
2026-03-06,258.63,258.77,254.37,257.46,41119995.0
2026-03-09,255.69,261.15,253.6805,259.88,38218531.0
2026-03-10,257.645,262.48,256.95,260.83,30590691.0
2026-03-11,261.09,262.13,259.55,260.81,26218534.0
2026-03-12,258.66,258.95,254.18,255.76,40793922.0
2026-03-13,255.48,256.33,249.52,250.12,36929911.0
2026-03-16,252.105,253.885,249.88,252.82,32074181.0
2026-03-17,252.955,255.13,252.18,254.23,32361394.0
2026-03-18,252.625,254.94,249.0,249.94,35757686.0
2026-03-19,249.4,251.83,247.3,248.96,34864055.0
2026-03-20,247.975,249.1999,246.0,247.99,88331039.0
2026-03-23,253.97,254.6,250.28,251.49,40546003.0
2026-03-24,250.35,254.825,249.55,251.64,45151904.0
2026-03-25,254.095,255.0,251.6,252.62,28476668.0
2026-03-26,252.115,257.0,250.77,252.89,41796650.0
2026-03-27,253.9,255.493,248.07,248.8,47899998.0
2026-03-30,250.07,250.87,245.51,246.63,39446015.0
2026-03-31,247.91,255.48,247.101,253.79,49597194.0
2026-04-01,254.08,256.18,253.33,255.63,40059432.0
2026-04-02,254.2,256.13,250.65,255.92,31288896.0
2026-04-06,256.51,262.16,256.46,258.86,29329910.0
2026-04-07,256.155,256.2,245.7,253.5,62147944.0
2026-04-08,258.45,259.7499,256.53,258.9,41032627.0
2026-04-09,259.0,261.12,256.07,260.49,28121302.0
2026-04-10,259.98,262.19,259.0231,260.48,31291385.0
2026-04-13,259.73,260.18,256.66,259.2,36234480.0
2026-04-14,259.245,261.93,257.19,258.83,48370710.0
2026-04-15,258.16,266.56,257.81,266.43,49913490.0
2026-04-16,266.8,267.16,261.27,263.4,43322984.0
2026-04-17,266.96,272.3,266.72,270.23,61436160.0
2026-04-20,270.33,274.275,270.29,273.05,36590135.0
2026-04-21,271.5,272.8,265.4,266.17,50209699.0
2026-04-22,267.82,273.74,266.87,273.17,43249072.0
2026-04-23,275.045,275.77,271.65,273.43,33399530.0
2026-04-24,272.755,273.06,269.65,271.06,38156959.0
2026-04-27,266.09,268.36,265.07,267.61,41466553.0
2026-04-28,272.335,273.23,268.66,270.71,40018566.0
2026-04-29,267.55,271.04,267.04,270.17,30047854.0
2026-04-30,270.5,276.0,268.14,271.35,91848046.0
2026-05-01,278.855,287.22,278.37,280.14,79915442.0
2026-05-04,279.655,280.63,274.8601,276.83,46668395.0
2026-05-05,276.925,284.57,276.501,284.18,49311712.0
2026-05-06,281.915,288.03,281.07,287.51,58336056.0
2026-05-07,289.27,292.13,285.78,287.44,45224299.0
2026-05-08,290.01,294.76,290.0,293.32,52692736.0
2026-05-11,291.979,293.88,290.23,292.68,42247239.0
2026-05-12,292.56,295.27,292.56,294.8,45748129.0
2026-05-13,293.5,300.92,293.5,298.87,52684226.0
2026-05-14,299.82,300.45,295.38,298.21,35324918.0
2026-05-15,297.9,303.2,296.52,300.23,54862836.0
2026-05-18,300.24,300.66,294.91,297.84,34482925.0
2026-05-19,296.97,300.51,296.35,298.97,42243561.0
2026-05-20,298.18,302.8,298.08,302.25,38229843.0
2026-05-21,301.055,305.54,300.4,304.99,42965126.0
2026-05-22,306.12,311.4,305.84,308.82,43670211.0
2026-05-26,309.56,311.82,307.67,308.33,48000493.0
2026-05-27,308.33,313.26,308.3,310.85,50430918.0
2026-05-28,310.68,312.8,309.57,312.51,48220309.0
2026-05-29,311.775,315.0,309.53,312.06,70026752.0
2026-06-01,309.625,310.94,305.02,306.31,48849913.0
2026-06-02,307.46,315.45,306.685,315.2,44534686.0
2026-06-03,314.175,316.94,308.85,310.26,50836553.0
2026-06-04,313.23,313.54,309.65,311.23,44869122.0
2026-06-05,312.86,315.17,307.15,307.34,65310417.0
2026-06-08,308.739,317.4,301.17,301.54,77949069.0
2026-06-09,300.275,300.75,287.78,290.55,70108797.0
2026-06-10,290.74,294.75,287.38,291.58,52793241.0
2026-06-11,293.72,297.0,289.59,295.63,42572471.0
2026-06-12,296.03,297.14,289.62,291.13,38784770.0
2026-06-15,294.12,297.78,291.7,296.42,45732467.0
2026-06-16,295.245,300.48,293.97,299.24,39874404.0
2026-06-17,300.845,302.07,294.36,295.95,42745016.0
2026-06-18,298.11,300.57,295.62,298.01,85962167.0
2026-06-22,297.31,302.42,296.76,297.01,44879903.0
2026-06-23,297.538,301.64,294.18,294.3,52010924.0
2026-06-24,295.355,299.7,292.94,293.08,53081699.0
2026-06-25,287.4,288.8,273.75,275.15,107253600.0
2026-06-26,275.0,285.95,274.21,283.78,261775448.0
2026-06-29,286.73,288.3697,279.85,281.74,66427002.0
2026-06-30,281.17,289.94,280.695,289.36,65100140.0
